card_name,card_race,card_type,card_class,description
Mistcaller Deck Ench,INVALID,ENCHANTMENT,NEUTRAL,"Mistcaller Deck Ench INVALID NEUTRAL ENCHANTMENT "
Aviana's Blessing,INVALID,ENCHANTMENT,NEUTRAL,Aviana's Blessing INVALID NEUTRAL ENCHANTMENT Costs (1).
Tuskarr Totemic,INVALID,MINION,SHAMAN,Tuskarr Totemic INVALID SHAMAN MINION Battlecry: Summon a random basic Totem.
Draenei Totemcarver,INVALID,MINION,SHAMAN,Draenei Totemcarver INVALID SHAMAN MINION Battlecry: Gain +1/+1 for each friendly Totem.
Experienced,INVALID,ENCHANTMENT,SHAMAN,Experienced INVALID SHAMAN ENCHANTMENT Increased stats.
Healing Wave,INVALID,SPELL,SHAMAN,"Healing Wave INVALID SHAMAN SPELL Restore #7 Health. Reveal a minion in each deck. If yours costs more, Restore #14 instead."
Thunder Bluff Valiant,INVALID,MINION,SHAMAN,Thunder Bluff Valiant INVALID SHAMAN MINION Inspire: Give your Totems +2 Attack.
Power of the Bluff,INVALID,ENCHANTMENT,SHAMAN,Power of the Bluff INVALID SHAMAN ENCHANTMENT Increased Attack.
Charged Hammer,INVALID,WEAPON,SHAMAN,Charged Hammer INVALID SHAMAN WEAPON Deathrattle: Your Hero Power becomes 'Deal 2 damage.'
Lightning Jolt,INVALID,HERO_POWER,SHAMAN,Lightning Jolt INVALID SHAMAN HEROPOWER Hero PowerDeal $2 damage. @spelldmg
Elemental Destruction,INVALID,SPELL,SHAMAN,Elemental Destruction INVALID SHAMAN SPELL Deal $4-$5 damage to all minions. Overload: (5) @spelldmg
Totem Golem,TOTEM,MINION,SHAMAN,Totem Golem TOTEM SHAMAN MINION Overload: (1)
Ancestral Knowledge,INVALID,SPELL,SHAMAN,Ancestral Knowledge INVALID SHAMAN SPELL Draw 2 cards. Overload: (2)
The Mistcaller,INVALID,MINION,SHAMAN,The Mistcaller INVALID SHAMAN MINION Battlecry: Give all minions in your hand and deck +1/+1.
Flash Heal,INVALID,SPELL,PRIEST,Flash Heal INVALID PRIEST SPELL Restore #5 Health.
Powershot,INVALID,SPELL,HUNTER,Powershot INVALID HUNTER SPELL Deal $2 damage to a minion and the minions next to it. @spelldmg
Stablemaster,INVALID,MINION,HUNTER,Stablemaster INVALID HUNTER MINION Battlecry: Give a friendly Beast Immune this turn.
Groomed,INVALID,ENCHANTMENT,HUNTER,Groomed INVALID HUNTER ENCHANTMENT Immune this turn.
King's Elekk,BEAST,MINION,HUNTER,"King's Elekk BEAST HUNTER MINION Battlecry: Reveal a minion in each deck. If yours costs more, draw it."
Brave Archer,INVALID,MINION,HUNTER,"Brave Archer INVALID HUNTER MINION Inspire: If your hand is empty, deal 2 damage to the enemy hero."
Bear Trap,INVALID,SPELL,HUNTER,"Bear Trap INVALID HUNTER SPELL Secret: After your hero is attacked, summon a 3/3 Bear with Taunt."
Lock and Load,INVALID,SPELL,HUNTER,"Lock and Load INVALID HUNTER SPELL Each time you cast a spell this turn, add a random Hunter card to your hand."
Lock and Load,INVALID,ENCHANTMENT,HUNTER,"Lock and Load INVALID HUNTER ENCHANTMENT "
Ball of Spiders,INVALID,SPELL,HUNTER,Ball of Spiders INVALID HUNTER SPELL Summon three 1/1 Webspinners.
Acidmaw,BEAST,MINION,HUNTER,"Acidmaw BEAST HUNTER MINION Whenever another minion takes damage, destroy it."
Dreadscale,BEAST,MINION,HUNTER,"Dreadscale BEAST HUNTER MINION At the end of your turn, deal 1 damage to all other minions."
Bash,INVALID,SPELL,WARRIOR,Bash INVALID WARRIOR SPELL Deal $3 damage.Gain 3 Armor. @spelldmg
King's Defender,INVALID,WEAPON,WARRIOR,"King's Defender INVALID WARRIOR WEAPON Battlecry: If you have a minion with Taunt, gain +1 Durability."
King's Defender,INVALID,ENCHANTMENT,NEUTRAL,King's Defender INVALID NEUTRAL ENCHANTMENT +1 Durability.
Orgrimmar Aspirant,INVALID,MINION,WARRIOR,Orgrimmar Aspirant INVALID WARRIOR MINION Inspire: Give your weapon +1 Attack.
Forges of Orgrimmar,INVALID,ENCHANTMENT,WARRIOR,Forges of Orgrimmar INVALID WARRIOR ENCHANTMENT Increased Attack.
Magnataur Alpha,INVALID,MINION,WARRIOR,Magnataur Alpha INVALID WARRIOR MINION Also damages the minions next to whomeverhe attacks.
Bolster,INVALID,SPELL,WARRIOR,Bolster INVALID WARRIOR SPELL Give your Taunt minions +2/+2.
Bolstered,INVALID,ENCHANTMENT,WARRIOR,Bolstered INVALID WARRIOR ENCHANTMENT +2/+2.
Sparring Partner,INVALID,MINION,WARRIOR,Sparring Partner INVALID WARRIOR MINION TauntBattlecry: Give aminion Taunt.
Training Complete,INVALID,ENCHANTMENT,WARRIOR,Training Complete INVALID WARRIOR ENCHANTMENT Taunt
Skycap'n Kragg,PIRATE,MINION,NEUTRAL,Skycap'n Kragg PIRATE NEUTRAL MINION CharrrrrgeCosts (1) less for each friendly Pirate.
Alexstrasza's Champion,INVALID,MINION,WARRIOR,"Alexstrasza's Champion INVALID WARRIOR MINION Battlecry: If you're holding a Dragon, gain +1 Attack and Charge."
Alexstrasza's Boon,INVALID,ENCHANTMENT,WARRIOR,Alexstrasza's Boon INVALID WARRIOR ENCHANTMENT +1 Attack and Charge.
Varian Wrynn,INVALID,MINION,WARRIOR,Varian Wrynn INVALID WARRIOR MINION Battlecry: Draw 3 cards.Put any minions you drew directly into the battlefield.
Competitive Spirit,INVALID,SPELL,PALADIN,"Competitive Spirit INVALID PALADIN SPELL Secret: When your turn starts, give your minions +1/+1."
Competitive Spirit,INVALID,ENCHANTMENT,NEUTRAL,Competitive Spirit INVALID NEUTRAL ENCHANTMENT +1/+1.
Seal of Champions,INVALID,SPELL,PALADIN,Seal of Champions INVALID PALADIN SPELL Give a minion+3 Attack and Divine Shield.
Seal of Champions,INVALID,ENCHANTMENT,PALADIN,Seal of Champions INVALID PALADIN ENCHANTMENT +3 Attack and Divine Shield.
Warhorse Trainer,INVALID,MINION,PALADIN,Warhorse Trainer INVALID PALADIN MINION Your Silver Hand Recruits have +1 Attack.
Might of the Hostler,INVALID,ENCHANTMENT,PALADIN,Might of the Hostler INVALID PALADIN ENCHANTMENT Warhorse Trainer is granting this minion +1 Attack.
Murloc Knight,MURLOC,MINION,PALADIN,Murloc Knight MURLOC PALADIN MINION Inspire: Summon a random Murloc.
Argent Lance,INVALID,WEAPON,PALADIN,"Argent Lance INVALID PALADIN WEAPON Battlecry: Reveal a minion in each deck. If yours costs more, +1 Durability."
Extra Poke,INVALID,ENCHANTMENT,NEUTRAL,Extra Poke INVALID NEUTRAL ENCHANTMENT +1 Durability.
Enter the Coliseum,INVALID,SPELL,PALADIN,Enter the Coliseum INVALID PALADIN SPELL Destroy all minions except each player's highest Attack minion.
Mysterious Challenger,INVALID,MINION,PALADIN,Mysterious Challenger INVALID PALADIN MINION Battlecry: Put one of each Secret from your deck into the battlefield.
Garrison Commander,INVALID,MINION,NEUTRAL,Garrison Commander INVALID NEUTRAL MINION You can use your Hero Power twice a turn.
Eadric the Pure,INVALID,MINION,PALADIN,Eadric the Pure INVALID PALADIN MINION Battlecry: Change all enemy minions'Attack to 1.
Purified,INVALID,ENCHANTMENT,PALADIN,Purified INVALID PALADIN ENCHANTMENT Attack changed to 1.
Lowly Squire,INVALID,MINION,NEUTRAL,Lowly Squire INVALID NEUTRAL MINION Inspire: Gain +1 Attack.
Training,INVALID,ENCHANTMENT,NEUTRAL,Training INVALID NEUTRAL ENCHANTMENT Increased Attack.
Dragonhawk Rider,INVALID,MINION,NEUTRAL,Dragonhawk Rider INVALID NEUTRAL MINION Inspire: Gain Windfurythis turn.
Dragonhawkery,INVALID,ENCHANTMENT,NEUTRAL,Dragonhawkery INVALID NEUTRAL ENCHANTMENT Windfury this turn.
Lance Carrier,INVALID,MINION,NEUTRAL,Lance Carrier INVALID NEUTRAL MINION Battlecry: Give a friendly minion +2 Attack.
Equipped,INVALID,ENCHANTMENT,NEUTRAL,Equipped INVALID NEUTRAL ENCHANTMENT +2 Attack.
Maiden of the Lake,INVALID,MINION,NEUTRAL,Maiden of the Lake INVALID NEUTRAL MINION Your Hero Power costs (1).
Maiden's Blessing,INVALID,ENCHANTMENT,NEUTRAL,Maiden's Blessing INVALID NEUTRAL ENCHANTMENT Costs (1).
Saboteur,INVALID,MINION,NEUTRAL,Saboteur INVALID NEUTRAL MINION Battlecry: Your opponent's Hero Power costs (5) more next turn.
Villainy,INVALID,ENCHANTMENT,NEUTRAL,Villainy INVALID NEUTRAL ENCHANTMENT Your Hero Power costs (5) more this turn.
Argent Horserider,INVALID,MINION,NEUTRAL,Argent Horserider INVALID NEUTRAL MINION ChargeDivine Shield
Mogor's Champion,INVALID,MINION,NEUTRAL,Mogor's Champion INVALID NEUTRAL MINION 50% chance to attack the wrong enemy.
Boneguard Lieutenant,INVALID,MINION,NEUTRAL,Boneguard Lieutenant INVALID NEUTRAL MINION Inspire: Gain +1 Health.
Boneguarded,INVALID,ENCHANTMENT,NEUTRAL,Boneguarded INVALID NEUTRAL ENCHANTMENT Increased Health.
Mukla's Champion,BEAST,MINION,NEUTRAL,Mukla's Champion BEAST NEUTRAL MINION Inspire: Give your other minions +1/+1.
Might of the Monkey,INVALID,ENCHANTMENT,NEUTRAL,Might of the Monkey INVALID NEUTRAL ENCHANTMENT +1/+1.
Tournament Medic,INVALID,MINION,NEUTRAL,Tournament Medic INVALID NEUTRAL MINION Inspire: Restore #2 Health to your hero.
Ice Rager,ELEMENTAL,MINION,NEUTRAL,"Ice Rager ELEMENTAL NEUTRAL MINION "
Frigid Snobold,INVALID,MINION,NEUTRAL,Frigid Snobold INVALID NEUTRAL MINION Spell Damage +1
Flame Juggler,INVALID,MINION,NEUTRAL,Flame Juggler INVALID NEUTRAL MINION Battlecry: Deal 1 damage to a random enemy.
Silent Knight,INVALID,MINION,NEUTRAL,Silent Knight INVALID NEUTRAL MINION StealthDivine Shield
Clockwork Knight,MECHANICAL,MINION,NEUTRAL,Clockwork Knight MECHANICAL NEUTRAL MINION Battlecry: Give a friendly Mech +1/+1.
Wound Up,INVALID,ENCHANTMENT,NEUTRAL,Wound Up INVALID NEUTRAL ENCHANTMENT +1/+1.
Tournament Attendee,INVALID,MINION,NEUTRAL,Tournament Attendee INVALID NEUTRAL MINION Taunt
Sideshow Spelleater,INVALID,MINION,NEUTRAL,Sideshow Spelleater INVALID NEUTRAL MINION Battlecry: Copy your opponent's Hero Power.
Kodorider,INVALID,MINION,NEUTRAL,Kodorider INVALID NEUTRAL MINION Inspire: Summon a 3/5 War Kodo.
War Kodo,BEAST,MINION,NEUTRAL,"War Kodo BEAST NEUTRAL MINION "
Silver Hand Regent,INVALID,MINION,NEUTRAL,Silver Hand Regent INVALID NEUTRAL MINION Inspire: Summon a 1/1 Silver Hand Recruit.
Pit Fighter,INVALID,MINION,NEUTRAL,"Pit Fighter INVALID NEUTRAL MINION "
Captured Jormungar,BEAST,MINION,NEUTRAL,"Captured Jormungar BEAST NEUTRAL MINION "
North Sea Kraken,BEAST,MINION,NEUTRAL,North Sea Kraken BEAST NEUTRAL MINION Battlecry: Deal 4 damage.
Tuskarr Jouster,INVALID,MINION,PALADIN,"Tuskarr Jouster INVALID PALADIN MINION Battlecry: Reveal a minion in each deck. If yours costs more, restore #7 Health to your hero."
Injured Kvaldir,INVALID,MINION,NEUTRAL,Injured Kvaldir INVALID NEUTRAL MINION Battlecry: Deal 3 damage to this minion.
Light's Champion,INVALID,MINION,NEUTRAL,Light's Champion INVALID NEUTRAL MINION Battlecry: Silence a Demon.
Armored Warhorse,BEAST,MINION,NEUTRAL,"Armored Warhorse BEAST NEUTRAL MINION Battlecry: Reveal a minion in each deck. If yours costs more, gain Charge."
Argent Watchman,INVALID,MINION,NEUTRAL,Argent Watchman INVALID NEUTRAL MINION Can't attack.Inspire: Can attack as normal this turn.
Inspired,INVALID,ENCHANTMENT,NEUTRAL,Inspired INVALID NEUTRAL ENCHANTMENT Can attack this turn.
Coliseum Manager,INVALID,MINION,NEUTRAL,Coliseum Manager INVALID NEUTRAL MINION Inspire: Return this minion to your hand.
Refreshment Vendor,INVALID,MINION,NEUTRAL,Refreshment Vendor INVALID NEUTRAL MINION Battlecry: Restore #4 Health to each hero.
Master Jouster,INVALID,MINION,NEUTRAL,"Master Jouster INVALID NEUTRAL MINION Battlecry: Reveal a minion in each deck. If yours costs more, gain Taunt and Divine Shield."
Recruiter,INVALID,MINION,NEUTRAL,Recruiter INVALID NEUTRAL MINION Inspire: Add a 2/2 Squire to your hand.
Evil Heckler,INVALID,MINION,NEUTRAL,Evil Heckler INVALID NEUTRAL MINION Taunt
Fencing Coach,INVALID,MINION,NEUTRAL,"Fencing Coach INVALID NEUTRAL MINION Battlecry: The next time you use your Hero Power, it costs (2) less."
Fencing Practice,INVALID,ENCHANTMENT,NEUTRAL,Fencing Practice INVALID NEUTRAL ENCHANTMENT Your Hero Power costs (2) less.
Wyrmrest Agent,INVALID,MINION,PRIEST,"Wyrmrest Agent INVALID PRIEST MINION Battlecry: If you're holding a Dragon, gain +1 Attack and Taunt."
Bring it on!,INVALID,ENCHANTMENT,PRIEST,Bring it on! INVALID PRIEST ENCHANTMENT +1 Attack and Taunt.
Master of Ceremonies,INVALID,MINION,NEUTRAL,"Master of Ceremonies INVALID NEUTRAL MINION Battlecry: If you have a minion with Spell Damage, gain +2/+2."
Ceremony,INVALID,ENCHANTMENT,NEUTRAL,Ceremony INVALID NEUTRAL ENCHANTMENT +2/+2.
Grand Crusader,INVALID,MINION,NEUTRAL,Grand Crusader INVALID NEUTRAL MINION Battlecry: Add a random Paladin card to your hand.
Kvaldir Raider,INVALID,MINION,NEUTRAL,Kvaldir Raider INVALID NEUTRAL MINION Inspire: Gain +2/+2.
Inspired,INVALID,ENCHANTMENT,NEUTRAL,Inspired INVALID NEUTRAL ENCHANTMENT Increased stats.
Frost Giant,INVALID,MINION,NEUTRAL,Frost Giant INVALID NEUTRAL MINION Costs (1) less for each time you used your Hero Power this game.
Crowd Favorite,INVALID,MINION,NEUTRAL,"Crowd Favorite INVALID NEUTRAL MINION Whenever you play a card with Battlecry, gain +1/+1."
Huge Ego,INVALID,ENCHANTMENT,NEUTRAL,Huge Ego INVALID NEUTRAL ENCHANTMENT Increased stats.
Gormok the Impaler,INVALID,MINION,NEUTRAL,"Gormok the Impaler INVALID NEUTRAL MINION Battlecry: If you have at least 4 other minions, deal 4 damage."
Chillmaw,DRAGON,MINION,NEUTRAL,"Chillmaw DRAGON NEUTRAL MINION TauntDeathrattle: If you're holdinga Dragon, deal 3 damageto all minions."
Bolf Ramshield,INVALID,MINION,NEUTRAL,"Bolf Ramshield INVALID NEUTRAL MINION Whenever your hero takes damage, this minion takes it instead."
Icehowl,INVALID,MINION,NEUTRAL,Icehowl INVALID NEUTRAL MINION ChargeCan't attack heroes.
Nexus-Champion Saraad,INVALID,MINION,NEUTRAL,Nexus-Champion Saraad INVALID NEUTRAL MINION Inspire: Add a random spell to your hand.
The Skeleton Knight,INVALID,MINION,NEUTRAL,"The Skeleton Knight INVALID NEUTRAL MINION Deathrattle: Reveal a minion in each deck. If yours costs more, return this to your hand."
Fjola Lightbane,INVALID,MINION,NEUTRAL,"Fjola Lightbane INVALID NEUTRAL MINION Whenever you target this minion with a spell, gain Divine Shield."
Sea Reaver,INVALID,MINION,WARRIOR,"Sea Reaver INVALID WARRIOR MINION When you draw this, deal 1 damage to your minions."
Eydis Darkbane,INVALID,MINION,NEUTRAL,"Eydis Darkbane INVALID NEUTRAL MINION Whenever you target this minion with a spell, deal 3 damage to a random enemy."
Justicar Trueheart,INVALID,MINION,NEUTRAL,Justicar Trueheart INVALID NEUTRAL MINION Battlecry: Replace your starting Hero Power with a better one.
Dire Shapeshift,INVALID,HERO_POWER,DRUID,Dire Shapeshift INVALID DRUID HEROPOWER Hero Power+2 Attack this turn.+2 Armor.
Dire Shapeshift,INVALID,HERO_POWER,DRUID,Dire Shapeshift INVALID DRUID HEROPOWER Hero Power+2 Attack this turn.+2 Armor.
Dire Shapeshift,INVALID,HERO_POWER,DRUID,Dire Shapeshift INVALID DRUID HEROPOWER Hero Power+2 Attack this turn.+2 Armor.
Dire Shapeshift,INVALID,HERO_POWER,DRUID,Dire Shapeshift INVALID DRUID HEROPOWER Hero Power+2 Attack this turn.+2 Armor.
Dire Claws,INVALID,ENCHANTMENT,DRUID,Dire Claws INVALID DRUID ENCHANTMENT +2 Attack this turn.
Ballista Shot,INVALID,HERO_POWER,HUNTER,Ballista Shot INVALID HUNTER HEROPOWER Hero PowerDeal $3 damage to the enemy hero.@Hero PowerDeal $3 damage. @spelldmg
Ballista Shot,INVALID,HERO_POWER,HUNTER,Ballista Shot INVALID HUNTER HEROPOWER Hero PowerDeal $3 damage to the enemy hero.@Hero PowerDeal $3 damage. @spelldmg
Fireblast Rank 2,INVALID,HERO_POWER,MAGE,Fireblast Rank 2 INVALID MAGE HEROPOWER Hero PowerDeal $2 damage. @spelldmg
The Silver Hand,INVALID,HERO_POWER,PALADIN,The Silver Hand INVALID PALADIN HEROPOWER Hero PowerSummon two 1/1 Recruits.
Heal,INVALID,HERO_POWER,PRIEST,Heal INVALID PRIEST HEROPOWER Hero PowerRestore #4 Health.
Poisoned Daggers,INVALID,HERO_POWER,ROGUE,Poisoned Daggers INVALID ROGUE HEROPOWER Hero PowerEquip a 2/2 Weapon.
Poisoned Daggers,INVALID,HERO_POWER,ROGUE,Poisoned Daggers INVALID ROGUE HEROPOWER Hero PowerEquip a 2/2 Weapon.
Poisoned Dagger,INVALID,WEAPON,ROGUE,"Poisoned Dagger INVALID ROGUE WEAPON "
Poisoned Dagger,INVALID,WEAPON,ROGUE,"Poisoned Dagger INVALID ROGUE WEAPON "
Totemic Slam,INVALID,HERO_POWER,SHAMAN,Totemic Slam INVALID SHAMAN HEROPOWER Hero PowerSummon a Totem of your choice.
Healing Totem,INVALID,MINION,SHAMAN,"Healing Totem INVALID SHAMAN MINION At the end of your turn, restore #1 Health to all friendly minions."
Searing Totem,INVALID,MINION,SHAMAN,"Searing Totem INVALID SHAMAN MINION "
Stoneclaw Totem,INVALID,MINION,SHAMAN,Stoneclaw Totem INVALID SHAMAN MINION Taunt
